"OldAdvertiserId","NewAdvertiserId"
"AR172294399785435136","AR16538424270838038529"
"AR412552911818588160","AR15222642141852336129"
"AR446545104065265664","AR06274354995005489153"
"AR469472567204249600","AR18248860155695333377"
"AR48079444459388928","AR11483810026204692481"
"AR9274758537412608","AR12072718624524075009"
"AR111396402092834816","AR11853105195649073153"
"AR129086066715000832","AR00291322890043785217"
"AR135010682042056704","AR10130425149304864769"
"AR1860304954720256","AR09449027419563360257"
"AR391489155248422912","AR18225698668378324993"
"AR395266115128786944","AR17222240376404836353"
"AR410392715067392000","AR14465192979523960833"
"AR492810010741440512","AR02111903039408308225"
"AR514661223795523584","AR04531096626474778625"
"AR78787361114161152","AR16704326419257229313"
"AR8213042621841408","AR08087487877237178369"
"AR99588643642933248","AR12939314107118518273"
"AR221784345864568832","AR10832135256857903105"
"AR26541386060791808","AR07228752803269705729"
"AR303746959120793600","AR07376509161539895297"
"AR341420762973863936","AR01031799716007903233"
"AR358134198709518336","AR07706134363770978305"
"AR443547732288733184","AR06872968432707436545"
"AR153768075534008320","AR10960705961857122305"
"AR334680791055335424","AR04218096452372529153"
"AR334973707824922624","AR03418707518514266113"
"AR451512731959296000","AR00306720176001253377"
"AR463545546695507968","AR04291935255247454209"
"AR55960743807287296","AR06520843236842405889"
"AR64093968756899840","AR15641476907197792257"
"AR92302386244091904","AR18204225893482627073"
"AR98127736287002624","AR03991372619239653377"
"AR107603396214652928","AR03968319296379027457"
"AR125281515964727296","AR07426911186874007553"
"AR313565769755525120","AR12360604578658385921"
"AR38626393239584768","AR02459440797884350465"
"AR441093622335537152","AR03328635525966856193"
"AR449974515192037376","AR06431615669225127937"
"AR506145781116305408","AR08574005554731548673"
"AR545019873709785088","AR12064756373632581633"
"AR549013987136634880","AR06953188801069973505"
"AR82693273092620288","AR09149552200555429889"
"AR100293190078169088","AR17969837914548338689"
"AR208180500810956800","AR12327818241429733377"
"AR314232829716201472","AR11856201420392890369"
"AR385010970176520192","AR06539702060282019841"
"AR392853339940847616","AR14974944162346958849"
"AR405591525746016256","AR02937350123966955521"
"AR415569009652531200","AR17197973330146099201"
"AR434986384999055360","AR08525525200844881921"
"AR44418311257063424","AR13407508973091815425"
"AR545018293161820160","AR14561967182637432833"
"AR129437085802168320","AR08114800845582761985"
"AR137025537099956224","AR05968272673187299329"
"AR261100132894769152","AR04909134700066373633"
"AR274395564936790016","AR16446776815566979073"
"AR326971874514829312","AR07224249203642335233"
"AR331923903087640576","AR04563392169200582657"
"AR476958729560915968","AR13628367873763180545"
"AR532504751326101504","AR10547043299208724481"
"AR56740297551380480","AR02797210769937137665"
"AR121260017826398208","AR08335477227323916289"
"AR315839594161504256","AR15509123469882163201"
"AR442160286053433344","AR03981657471935578113"
"AR494168560436772864","AR03333139125594226689"
"AR516539120936288256","AR06025531115593269249"
"AR126627008959479808","AR15989778963694092289"
"AR346192918316318720","AR14673202987313135617"
"AR421860415186665472","AR15452325722848231425"
"AR88787350649307136","AR01175914904083759105"
"AR133915534101053440","AR03933390010987839489"
"AR156209815981391872","AR00095050993514840065"
"AR171675099861090304","AR16140615878667403265"
"AR439575918332084224","AR17566084050689458177"
"AR47131768515461120","AR11091252351812501505"
"AR482676808500641792","AR09855342046003331073"
"AR52147465683468288","AR00764926253714112513"
"AR549330509046480896","AR03700762625047527425"
"AR551474384921952256","AR02157699622850527233"
"AR195930326369828864","AR02949572570099220481"
"AR241744467638353920","AR11628769639210680321"
"AR245122167358881792","AR06011883290074546177"
"AR31499565026770944","AR17168197180876390401"
"AR359721652981858304","AR00139563209936863233"
"AR395123178617176064","AR01674065414599999489"
"AR399219615344885760","AR10438956908151832577"
"AR417597883483684864","AR08310044423861829633"
"AR427582823453425664","AR16803405611059380225"
"AR452935053329039360","AR04647345791856279553"
"AR528838807760404480","AR17505206565760663553"
"AR572309924109877248","AR06176402802621808641"
"AR87150830670577664","AR15376649636043292673"
"AR12080952729665536","AR15839635290802094081"
"AR183685615127101440","AR14426996220452929537"
"AR206011989003075584","AR13528444257030897665"
"AR287284143316795392","AR03645808209257562113"
"AR389533673818423296","AR05602108912858824705"
"AR4096230569279488","AR06948667196939698177"
"AR444689059718103040","AR08843658582420357121"
"AR513428980498432000","AR15285692536635523073"
"AR524088470851813376","AR10394783341311164417"
"AR65602155112824832","AR02521593578862411777"
"AR196367485321084928","AR15328979484787343361"
"AR30557455360458752","AR10368289509128273921"
"AR314400299081007104","AR15911692884840022017"
"AR350569077674082304","AR04568116083470368769"
"AR353679939666444288","AR14875864970544807937"
"AR373953181735976960","AR06617891905545961473"
"AR380565507226468352","AR14069519701495513089"
"AR39094407235895296","AR07359177009995448321"
"AR418892214828007424","AR13907591050660151297"
"AR420241212516073472","AR17909039319578836993"
"AR445403914074849280","AR07205390380202721281"
"AR527559354182795264","AR09126396897991327745"
"AR132614227729842176","AR00486864161096073217"
"AR146449760499269632","AR13831029856994852865"
"AR181477383461666816","AR15405006040923635713"
"AR196773376910426112","AR15715535887276179457"
"AR221113437613195264","AR14158402434778529793"
"AR226919305684451328","AR01475702109516070913"
"AR286252904489156608","AR16536848808114388993"
"AR293122859297931264","AR05729054127355330561"
"AR364765662574280704","AR04373470639516811265"
"AR374971088985128960","AR18190021715080249345"
"AR443116861169598464","AR04632427618090614785"
"AR44776855126933504","AR13200525909162983425"
"AR525067860834254848","AR14521709251581181953"
"AR169664196173103104","AR18195017895916863489"
"AR250751666893094912","AR00041007797986394113"
"AR262331173601017856","AR13807350774579068929"
"AR387042420988051456","AR01470910162964316161"
"AR423955087916793856","AR14089986835568656385"
"AR442874212697243648","AR09550358411179196417"
"AR453010266796326912","AR10574927326405984257"
"AR454529310829576192","AR07102652013703331841"
"AR476073141664219136","AR02333340008317976577"
"AR480998953756655616","AR17839233525354594305"
"AR70685678404370432","AR03998246491058601985"
"AR218542057872949248","AR14062367103478923265"
"AR390518767517433856","AR03030570705499455489"
"AR472152077041139712","AR08401317357984677889"
"AR65449563514732544","AR13279704215380295681"
"AR81227864610963456","AR02526994792294907905"
"AR100207290732249088","AR05530051318820896769"
"AR104028093638770688","AR11727004406082699265"
"AR133658076581462016","AR16470139238633963521"
"AR142479355291893760","AR07595198038574891009"
"AR214021106577702912","AR14830828974271102977"
"AR283701796994547712","AR13178962424557993985"
"AR291612164681105408","AR03738828404795899905"
"AR376576444681158656","AR08188674970268729345"
"AR409143257541378048","AR01855114022886572033"
"AR420715686143197184","AR07457591959335469057"
"AR189796872552972288","AR16311650822242959361"
"AR204542904029413376","AR06954033226000105473"
"AR240810638668988416","AR13341128157588094977"
"AR415208782155481088","AR03890741054458036225"
"AR433664187906916352","AR00816054643917324289"
"AR439033893459329024","AR16114354868071694337"
"AR264032221168402432","AR05990628218481147905"
"AR309631854590296064","AR08431213903777628161"
"AR347035865777700864","AR12519637940499906561"
"AR375706662264111104","AR01782257083895250945"
"AR50972122113114112","AR11997220383724929025"
"AR92421820694659072","AR10857893515761811457"
"AR109611344965140480","AR09666708319313592321"
"AR250128553037791232","AR16455867852583337985"
"AR260413213005316096","AR14556109397001502721"
"AR296123014213271552","AR06502810833830019073"
"AR345789088311279616","AR10618802238400757761"
"AR493636259369975808","AR01401094885452283905"
"AR574311413229551616","AR10565920127151243265"
"AR155247399709704192","AR00950734922715234305"
"AR228258235969175552","AR17602794544917643265"
"AR347541778565431296","AR03785750888144961537"
"AR390207914964418560","AR12434913972509999105"
"AR452553144837079040","AR08560069244849487873"
"AR476435018428710912","AR12110654799339323393"
"AR57558712159567872","AR04426157312574488577"
"AR62278262742581248","AR15051505356012257281"
"AR118173585608015872","AR07849387122413797377"
"AR145115193901318144","AR12352599721691316225"
"AR219216230299467776","AR02715385389475954689"
"AR308938131472646144","AR15134603970938404865"
"AR403037463313907712","AR00108561792396951553"
"AR99922379781701632","AR00820130533521489921"
"AR156506890279321600","AR09439175795378487297"
"AR171677264524607488","AR13533792281588400129"
"AR254686337972568064","AR07967343142158467073"
"AR272113940870201344","AR00660755498441637889"
"AR362479296863797248","AR05241820942669185025"
"AR441593487809314816","AR12502467966920556545"
"AR472556181924085760","AR00064203370163863553"
"AR536202683808219136","AR03432218317396377601"
"AR126746477769785344","AR06881359493133762561"
"AR160744579891462144","AR04494307242287300609"
"AR263857639337754624","AR04328434643243106305"
"AR31677617190993920","AR00784101736502525953"
"AR358655126702915584","AR14339092189957586945"
"AR492773280181125120","AR05850651317294333953"
"AR546522356349140992","AR04461793583942336513"
"AR55967615754960896","AR02188362390809083905"
"AR568289181885792256","AR14448023005944610817"
"AR569461278460870656","AR05830750431709495297"
"AR61600482543534080","AR08850048669123084289"
"AR93136984289050624","AR09484295629413810177"
"AR112555630945894400","AR12655590354251153409"
"AR127323446496460800","AR18199521495544233985"
"AR139593824463749120","AR14030741025895481345"
"AR159431866087112704","AR00802116135012007937"
"AR231272237859078144","AR05999069169247584257"
"AR359983749066129408","AR03611183213709361153"
"AR368870002041815040","AR07210738404760223745"
"AR469774589304504320","AR14775114108751577089"
"AR55442186635837440","AR03360160723358449665"
"AR89637925972606976","AR15862018049008730113"
"AR149798323161661440","AR08433465703591313409"
"AR159365964108922880","AR13065417920341868545"
"AR231591474188255232","AR15236963280804118529"
"AR324779585767997440","AR05569679092275478529"
"AR429606783841992704","AR13320236612026630145"
"AR441028751149498368","AR08687919082537746433"
"AR464644611646685184","AR01297512094022762497"
"AR495841501738172416","AR10083487410231967745"
"AR509877661019930624","AR03421720867569139713"
"AR547667978745806848","AR13771620632405999617"
"AR111649736443822080","AR16533189633417150465"
"AR14253415907459072","AR04758528407656988673"
"AR165439597621280768","AR03733959492430200833"
"AR201304120731107328","AR17218696238111653889"
"AR409935627467882496","AR03539838652962045953"
"AR528951198464606208","AR08005000590776074241"
"AR536546281191899136","AR02073121889907113985"
"AR9652887458152448","AR01972189608695300097"
"AR117361149594304512","AR10407319148257345537"
"AR134527103084265472","AR11387203910931316737"
"AR166715924462698496","AR11416238027291230209"
"AR221325918235262976","AR16780887612922527745"
"AR288576172558647296","AR03008035527493419009"
"AR377290130806800384","AR00401295768176033793"
"AR388467181899218944","AR03510270723706847233"
"AR410636737929281536","AR01143023700933607425"
"AR432075771561902080","AR17496959953674436609"
"AR451042484579991552","AR06007414874819264513"
"AR46596237633257472","AR13051907121459757057"
"AR472391873655209984","AR04788304556926697473"
"AR492100172906496","AR06643284851711541249"
"AR127494283115626496","AR15785592095273648129"
"AR135572635563065344","AR11470383065084198913"
"AR14736823066558464","AR16618758026337189889"
"AR247379430370967552","AR14558361196815187969"
"AR323310775672242176","AR05244917167413002241"
"AR380532762395803648","AR00172657410421293057"
"AR486034923170299904","AR10448826536839610369"
"AR19500147956252672","AR01338409803407425537"
"AR205452509383229440","AR16060839438124580865"
"AR216507033648627712","AR01771881267541835777"
"AR258910180610146304","AR09232854637449576449"
"AR281940482446065664","AR12925806331893383169"
"AR415633434161971200","AR00326986374324420609"
"AR443057143944314880","AR07282795998798151681"
"AR494927567057321984","AR00887684527932047361"
"AR519926372664082432","AR05976752106860707841"
"AR532789730996125696","AR08148477787229913089"
"AR535693077348614144","AR02336864492840812545"
"AR560407985617108992","AR08041589726408343553"
"AR562615701886468096","AR11690975609063735297"
"AR10873551523414016","AR07632327721611165697"
"AR139975251919372288","AR17267276372678541313"
"AR212707121463033856","AR03337642725221597185"
"AR221647284868218880","AR03367677672040693761"
"AR277188805507678208","AR08746465877693562881"
"AR325139366588448768","AR02099542742005710849"
"AR380744418384150528","AR10413453735945568257"
"AR393942406208159744","AR06112566669341622273"
"AR427275509953462272","AR10027968257782185985"
"AR562441979049279488","AR07223404778712203265"
"AR72801825970978816","AR14861491742229659649"
"AR148230075983069184","AR04638605224171274241"
"AR158784975292858368","AR08251069918682808321"
"AR21079390251122688","AR15235392353565933569"
"AR222645160389902336","AR09754511607056039937"
"AR229245700490133504","AR02477455196393832449"
"AR272622842955169792","AR15531148199615004673"
"AR324267591306575872","AR01277039050074619905"
"AR386101342113890304","AR11772884827286536193"
"AR474490566474727424","AR17692866537465053185"
"AR478209905073848320","AR09980452175593078785"
"AR169454739208011776","AR16716095179404083201"
"AR197209986105868288","AR05918205311704891393"
"AR23546350746468352","AR03718533481731457025"
"AR270643928183603200","AR15361336737603256321"
"AR272842367323602944","AR14592138194020466689"
"AR400759893696446464","AR12051263579253374977"
"AR43229498669268992","AR03116121918550310913"
"AR478516840616689664","AR13835533456622223361"
"AR66374733830029312","AR11721663528350777345"
"AR132522040551800832","AR08597086502821822465"
"AR198246481973477376","AR03788002687958646785"
"AR434719547270889472","AR09696725399068737537"
"AR446730955890098176","AR01882980045580926977"
"AR496987364653006848","AR12897940309199028225"
"AR74426869797093376","AR04362176456076296193"
"AR80104576044236800","AR04778794605980155905"
"AR179987957522890752","AR00435072765381312513"
"AR21324409545424896","AR15744215273697181697"
"AR366126926688944128","AR07034235589859737601"
"AR442289409950220288","AR13425705890531508225"
"AR483793053321003008","AR14344586449561583617"
"AR114507538963103744","AR05543562117703008257"
"AR186864681200123904","AR16589987380451082241"
"AR204473978394247168","AR06017787255198842881"
"AR219821992486895616","AR05301212162755133441"
"AR232737268383612928","AR10854150503302955009"
"AR253202581390622720","AR11344282275517825025"
"AR294294938693140480","AR17510470752556548097"
"AR33481640894267392","AR06796407239042138113"
"AR526076662752739328","AR12214237590768844801"
"AR567356246269624320","AR06606393625259540481"
"AR97736344507252736","AR00995770918988939265"
"AR120978405410734080","AR00103971331350986753"
"AR164800643926589440","AR08886077466142048257"
"AR165952588515115008","AR02287459587114139649"
"AR234245935775875072","AR04359959840634699777"
"AR263062451912704000","AR06858697046656811009"
"AR333917420748013568","AR02354995577021792257"
"AR352645745901305856","AR09039199853472645121"
"AR379735513386450944","AR09154771307374575617"
"AR423783907700244480","AR07741402573621428225"
"AR518705605519605760","AR05569176340583677953"
"AR520521826929999872","AR05741403841958510593"
"AR106804085620998144","AR17767175931316666369"
"AR270050088825389056","AR17051103590564757505"
"AR282120115158253568","AR00323890149580603393"
"AR287722985895231488","AR04211341052931473409"
"AR541622210981265408","AR16086370785316306945"
"AR543103012625711104","AR11354050061941080065"
"AR137146483379011584","AR04274391447714660353"
"AR265391148820856832","AR05365534692491657217"
"AR283467635377569792","AR06868464833080066049"
"AR335795111730348032","AR00617468550289817601"
"AR339677865245147136","AR07394059978459316225"
"AR345571350649241600","AR13884527282439061505"
"AR502505126318047232","AR10890179300321918977"
"AR548585933516046336","AR10393938916381032449"
"AR553754119202930688","AR07914928598228664321"
"AR107848037551833088","AR07319468010119364609"
"AR146765492135133184","AR16339534849440219137"
"AR190402050624847872","AR13344641097238839297"
"AR20707789680672768","AR14501203772040019969"
"AR21167248102129664","AR18426757563656699905"
"AR244350722513043456","AR16843093582775582721"
"AR315203629764050944","AR01508879598006304769"
"AR389673311795150848","AR13813518210177171457"
"AR403813993401024512","AR00864322104865062913"
"AR436146266687143936","AR17155677041970905089"
"AR521880376625332224","AR00345503524525703169"
"AR544791415809376256","AR15639225107384107009"
"AR575102889802858496","AR12952731859829129217"
"AR71480762750205952","AR14866857771290066945"
"AR10258065530028032","AR00923713324951011329"
"AR290638993811308544","AR02144188823968415745"
"AR329334415765274624","AR03454736315533230081"
"AR351745417676849152","AR01554582585521209345"
"AR365858852010196992","AR12700626350524858369"
"AR406722957570736128","AR16636772424846671873"
"AR411671550169710592","AR10547145141473247233"
"AR426767020185354240","AR01043023530704240641"
"AR541489032635351040","AR14576375595324669953"
"AR576013388509872128","AR04818464573193453569"
"AR114917038324973568","AR01027296116380532737"
"AR198364232796864512","AR01172819778851569665"
"AR228788509811408896","AR16791831739348549633"
"AR353715570715131904","AR07386378790227673089"
"AR400903105085964288","AR14095879805576675329"
"AR412881253478432768","AR01206595676545220609"
"AR449318381628162048","AR05252663226830684161"
"AR486656319038685184","AR05441068117662892033"
"AR490118337557168128","AR04161801457030397953"
"AR503715173224153088","AR10119712057759629313"
"AR544011312309469184","AR06073579498849173505"
"AR91111683870687232","AR04782537618439012353"
"AR102638173502308352","AR08777991075085156353"
"AR112638712793268224","AR13596842676371587073"
"AR248384624516923392","AR12561517513768173569"
"AR283046178826747904","AR08359156309739700225"
"AR305093242389528576","AR00714798693970083841"
"AR315671231443501056","AR09025488118840557569"
"AR400570949495160832","AR13117209316056629249"
"AR4118152082358272","AR04481557030573703169"
"AR472333496459722752","AR05787195889915265025"
"AR516579046952271872","AR14095981647841198081"
"AR561520107268866048","AR18122115876948803585"
"AR573179809606139904","AR14367948872628568065"
"AR172666893709082624","AR03935759046228836353"
"AR315383159397023744","AR09741761395342442497"
"AR357170442408034304","AR16631547133274619905"
"AR387847881974874112","AR04236613602573811713"
"AR487348564687585280","AR14524584199609909249"
"AR531799345897406464","AR10205632156961603585"
"AR552482602724884480","AR02517143168110034945"
"AR9405703500333056","AR04472549831318962177"
"AR179553478631227392","AR16646390540249595905"
"AR20168891544109056","AR13812153029052334081"
"AR210489921905885184","AR00866056034702065665"
"AR283160321877606400","AR07865325642970038273"
"AR285186859246551040","AR07521486779048787969"
"AR28969176454397952","AR00594088122719928321"
"AR307806012453158912","AR16582729229318225921"
"AR356538498099970048","AR03950132274543984641"
"AR381805034788093952","AR11151388078709407745"
"AR81371419597864960","AR05277849739688148993"
"AR111219621238931456","AR08902759119119712257"
"AR215480295946715136","AR06002024656503046145"
"AR287818643406848000","AR13999914843021246465"
"AR299934677429387264","AR04088899438062338049"
"AR300398121580494848","AR08485257099306074113"
"AR342793984277479424","AR09214840238940094465"
"AR343251587273064448","AR05430954122515841025"
"AR38754142746836992","AR08866391397641486337"
"AR484100710418350080","AR08793753673780953089"
"AR497639203249586176","AR08001924981875277825"
"AR499575546305314816","AR09179802101897756673"
"AR503512828724903936","AR07305313996935004161"
"AR570100902170460160","AR07827731553709981697"
"AR331223479821008896","AR04881532972479545345"
"AR348462516474478592","AR17527622721632993281"
"AR387320906667524096","AR13353648296493580289"
"AR388674542920269824","AR04022189868581912577"
"AR40234841312067584","AR02400894002728534017"
"AR549858412066766848","AR17163693581249019905"
"AR92722296606687232","AR10354250944664829953"
"AR139286373524832256","AR00457973393564631041"
"AR218154789261803520","AR06439654885930565633"
"AR262091823663546368","AR17482586725359288321"
"AR146883586555904000","AR03976994718000087041"
"AR150862031942057984","AR02706817719994417153"
"AR224680631290822656","AR03340422290616614913"
"AR278511483636154368","AR09022860011172265985"
"AR291720019899842560",NULL
"AR314183523491643392","AR09394121794601877505"
"AR367349411820339200","AR08085978522650148865"
"AR474201223117930496","AR02891786362111918081"
"AR537599269733924864","AR08288171426733621249"
"AR552235968522878976","AR01186205920602882049"
"AR576136739970613248","AR10561416527523872769"
"AR258985187919003648","AR08667652884214579201"
"AR453152241235263488","AR04073358116081631233"
"AR555965065287696384","AR06163651491396583425"
"AR69645437325279232","AR09390480624407543809"
"AR105987011042607104","AR06664958424918261761"
"AR117492094557224960","AR18109449502996824065"
"AR179854538658807808","AR02629733158794297345"
"AR243568969745694720","AR10016480972612042753"
"AR333912060628828160","AR13933750218991337473"
"AR426568420897587200","AR07800361410759753729"
"AR467425963748098048","AR01783900853778776065"
"AR513957227116101632","AR03769988289449164801"
"AR259120737086865408","AR14898382968681660417"
"AR299589499497742336","AR04958938591074975745"
"AR356785372820144128","AR01350632661856550913"
"AR373165690892320768","AR04164716537233539073"
"AR52703990365814784","AR06940522427117993985"
"AR83494817069268992","AR12787993956784799745"
"AR111702169404571648","AR12015651084824477697"
"AR165907302379945984","AR06340699251747586049"
"AR172216781136461824","AR16481133942594863105"
"AR194446432348930048","AR08880960613904285697"
"AR206968048723165184","AR03580076517931089921"
"AR211343967562760192","AR02403528432588685313"
"AR257919177036136448","AR09683214600186626049"
"AR314402704262692864","AR02128785490696994817"
"AR381676563726336000","AR10061516968885747713"
"AR471715983241773056","AR12393537150933532673"
"AR571698011529281536","AR14529087799237279745"
"AR67228779486904320","AR00445025544635940865"
"AR117648878043398144","AR00698864983777214465"
"AR138358901107064832","AR13132971914752425985"
"AR15516582969081856","AR14386361981542072321"
"AR19349205625602048","AR11240615646326685697"
"AR286845335098097664","AR06404594071460904961"
"AR447015351444570112","AR06123519729299619841"
"AR61572444997025792","AR06665802849848393729"
"AR93199141055758336","AR13623740716516638721"
"AR207212518261653504","AR18423839047479721985"
"AR313239249161814016","AR07602551572341456897"
"AR36000656393240576","AR13585583677303160833"
"AR494711650461417472","AR04760780207470673921"
"AR505086710900588544","AR04540103825729519617"
"AR118619506292555776","AR14807466551204118529"
"AR200379397092409344","AR02972006730474455041"
"AR381429517207470080","AR11239718032521560065"
"AR524398670569799680","AR17920298318647263233"
"AR532244098350841856","AR00071688570447855617"
"AR337033333621915648","AR09579631808757104641"
"AR479420055059169280","AR17815871102287609857"
"AR491816773784436736","AR10674006518208135169"
"AR567549519797944320","AR13362655495748321281"
"AR59311402413719552","AR07298558597493948417"
"AR116769577978822656","AR15970239679995838465"
"AR220650474498424832","AR09568372809688678401"
"AR248439806256742400","AR00567928954388742145"
"AR297400646724747264","AR03738463092057571329"
"AR346998207504449536","AR03062923147951996929"
"AR349245231314501632","AR12044666097169858561"
"AR372163692202033152","AR08792727691993284609"
"AR404706281446703104","AR07261766739405307905"
"AR474221598442782720","AR11155891678336778241"
"AR47764881054629888","AR12384613789440409601"
"AR487697659629404160","AR17869914297816055809"
"AR52933822655758336","AR10754327629323567105"
"AR572748801048051712","AR02687237891804889089"
"AR73366253393149952","AR06245035143061307393"
"AR85616152956370944","AR03134980741989924865"
"AR197023618884960256","AR10406183077867945985"
"AR279915422545870848","AR13485743898332495873"
"AR306599848197488640","AR11411334205431349249"
"AR432331923411435520","AR16122254034483544065"
"AR55265852458532864","AR01124626260060798977"
"AR153505017377062912","AR05666994392548769793"
"AR186518403756851200","AR05916463272969633793"
"AR237244029106913280","AR02733297945720913921"
"AR339910789911543808","AR11053299546883883009"
"AR370417564657909760","AR06012020316711157761"
"AR500046171641741312","AR14419840323901456385"
"AR110925811116146688","AR11831431622442352641"
"AR149470222019985408","AR04485198200768036865"
"AR235409837553352704","AR18235550292563197953"
"AR247676676467589120","AR03945628674916614145"
"AR262539290536312832","AR15994680036774903809"
"AR350922570662412288","AR18389853555382026241"
"AR5330054414336000","AR16262342398661623809"
"AR550679334935855104","AR06580420961588215809"
"AR560370774020456448","AR01166221197256425473"
"AR81585205889990656","AR12826727140091232257"
"AR123368228293443584","AR09773286592734035969"
"AR177702553885081600","AR18089183304673656833"
"AR446319120066019328","AR15623462508688310273"
"AR473185205654388736","AR16861107981285064705"
"AR141456019204079616","AR13310599804926033921"
"AR144788020472578048","AR00090547393887469569"
"AR160978054313672704","AR07890781948493168641"
"AR186710749572235264","AR05704512615506509825"
"AR23346342709428224","AR09629111206396559361"
"AR364406122271997952","AR15871160488193687553"
"AR391478916046389248","AR12339493955405086721"
"AR475293519200649216","AR17819470078723227649"
"AR502764851580370944","AR12486705368224759809"
"AR536670182408454144","AR08913601815598071809"
"AR120964111759572992","AR06538857635351887873"
"AR307444651084742656","AR16937313070621917185"
"AR547727558532136960","AR01680318062349254657"
"AR255764924519677952","AR06007116219973369857"
"AR281586920738258944","AR11272985268648411137"
"AR283149945236619264","AR07206234805132853249"
"AR384723619684548608","AR08099438743997382657"
"AR522204251519188992","AR14303063392938622977"
"AR574824919519461376","AR10295163189788147713"
"AR198468686401503232","AR09748686119574175745"
"AR206491650950692864","AR14921891626795139073"
